Missouri,big-12
Nebraska,big-12
Kansas,big-12
Colorado,big-12
Kansas State,big-12
Iowa State,big-12
Texas,big-12
Oklahoma,big-12
Texas Tech,big-12
Oklahoma State,big-12
Baylor,big-12
Texas A&amp;M,big-12
Florida,sec
Georgia,sec
South Carolina,sec
Vanderbilt,sec
Tennessee,sec
Kentucky,sec
Alabama,sec
Mississippi,sec
Louisiana State,sec
Arkansas,sec
Auburn,sec
Mississippi State,sec
Florida State,acc
Boston College,acc
Maryland,acc
Wake Forest,acc
Clemson,acc
North Carolina State,acc
Virginia Tech,acc
Georgia Tech,acc
North Carolina,acc
adjusted to,acc
Miami (FL),acc
Virginia,acc
Duke,acc
Penn State,big-ten
Ohio State,big-ten
Michigan State,big-ten
Iowa,big-ten
Northwestern,big-ten
Minnesota,big-ten
Wisconsin,big-ten
Illinois,big-ten
Purdue,big-ten
Michigan,big-ten
Indiana,big-ten
Southern California,pac-10
Oregon,pac-10
Oregon State,pac-10
California,pac-10
Arizona,pac-10
Arizona State,pac-10
Stanford,pac-10
UCLA,pac-10
Washington State,pac-10
Washington,pac-10
Cincinnati,big-east
Pittsburgh,big-east
West Virginia,big-east
Rutgers,big-east
Connecticut,big-east
South Florida,big-east
Louisville,big-east
Syracuse,big-east
Utah,mwc
Texas Christian,mwc
Brigham Young,mwc
Air Force,mwc
Colorado State,mwc
Nevada-Las Vegas,mwc
New Mexico,mwc
Wyoming,mwc
San Diego State,mwc
Navy,independent
Notre Dame,independent
Army,independent
East Carolina,cusa
Southern Mississippi,cusa
Memphis,cusa
Alabama-Birmingham,cusa
Central Florida,cusa
Marshall,cusa
Tulsa,cusa
Rice,cusa
Houston,cusa
Texas-El Paso,cusa
Tulane,cusa
Southern Methodist,cusa
Boise State,wac
Louisiana Tech,wac
Nevada,wac
Hawaii,wac
Fresno State,wac
San Jose State,wac
Utah State,wac
New Mexico State,wac
Idaho,wac
Buffalo,mac
Bowling Green State,mac
Temple,mac
Akron,mac
Kent State,mac
Ohio,mac
Miami (OH),mac
Ball State,mac
Western Michigan,mac
Central Michigan,mac
Northern Illinois,mac
Eastern Michigan,mac
Toledo,mac
Troy,sun-belt
Louisiana-Lafayette,sun-belt
Florida Atlantic,sun-belt
Arkansas State,sun-belt
Florida International,sun-belt
Middle Tennessee State,sun-belt
Louisiana-Monroe,sun-belt
North Texas,sun-belt
Western Kentucky,sun-belt
